Year,PopulationSize,Total_palmata,Total_cervicornis,Total_prolifera,Ratio_palmata_to_cervicornis,cervicornis_ancestry_in_palmata,palmata_ancestry_in_cervicornis,palmata_ancestry_in_prolifera,cervicornis_ancestry_in_prolifera
1,630,315,315,0,1.0,0.0,0.0,0.0,0.0
2,431,207,210,14,0.985714,0.0,0.0,0.5,0.5
3,428,204,200,24,1.02,0.00122337,0.00130932,0.5,0.5
4,450,206,203,41,1.01478,0.00267688,0.00128997,0.5,0.5
5,449,202,200,47,1.01,0.00272989,0.00354174,0.5,0.5
6,471,204,208,59,0.980769,0.00270312,0.00517572,0.5,0.5
7,480,210,199,71,1.05528,0.00545631,0.00798241,0.5,0.5
8,499,213,204,82,1.04412,0.00926445,0.0105459,0.5,0.5
9,500,207,202,91,1.02475,0.00953299,0.0104043,0.500166,0.499834
10,506,201,200,105,1.005,0.0136114,0.0105083,0.49749,0.50251
11,516,202,202,112,1.0,0.0163468,0.0127955,0.498601,0.501399
12,541,207,207,127,1.0,0.0211568,0.0164849,0.496937,0.503063
13,548,203,203,142,1.0,0.0273879,0.0180135,0.49628,0.50372
14,562,209,205,148,1.01951,0.0287579,0.0206139,0.496908,0.503092
15,568,207,206,155,1.00485,0.0334851,0.0261122,0.497048,0.502952
16,583,209,206,168,1.01456,0.0371945,0.0271682,0.495698,0.504302
17,578,203,201,174,1.00995,0.0397672,0.0308597,0.496937,0.503063
18,592,208,200,184,1.04,0.0399811,0.0320246,0.495065,0.504935
19,607,207,204,196,1.01471,0.0435377,0.0351754,0.495198,0.504802
20,624,209,206,209,1.01456,0.0464158,0.0394403,0.494875,0.505125
21,632,213,204,215,1.04412,0.0553111,0.0392683,0.495036,0.504964
22,626,211,203,212,1.03941,0.0597949,0.0453135,0.496099,0.503901
23,622,199,203,220,0.980296,0.059748,0.0453135,0.497212,0.502788
24,616,202,201,213,1.00498,0.0596777,0.045157,0.498246,0.501754
25,620,204,202,214,1.0099,0.0628392,0.0446616,0.495237,0.504763
26,637,216,205,216,1.05366,0.0682522,0.0483285,0.496839,0.503161
27,623,211,203,209,1.03941,0.0711015,0.0517139,0.501988,0.498012
28,630,215,201,214,1.06965,0.0740626,0.0575112,0.499596,0.500404
29,629,210,206,213,1.01942,0.0762004,0.0620786,0.497025,0.502975
30,620,199,203,218,0.980296,0.0798746,0.0647271,0.497537,0.502463
31,627,209,203,215,1.02956,0.0874859,0.0703169,0.497171,0.502829
32,621,211,198,212,1.06566,0.0943172,0.0728562,0.496876,0.503124
33,628,215,201,212,1.06965,0.0997253,0.0753515,0.500342,0.499658
34,629,209,206,214,1.01456,0.110808,0.0834936,0.496778,0.503222
35,623,202,204,217,0.990196,0.113299,0.0834946,0.497124,0.502876
36,622,203,203,216,1.0,0.114263,0.0940423,0.495562,0.504438
37,628,215,203,210,1.05911,0.119384,0.0978541,0.492786,0.507214
38,622,207,202,213,1.02475,0.135779,0.0967661,0.491801,0.508199
39,627,201,206,220,0.975728,0.139496,0.101173,0.491877,0.508123
40,636,211,204,221,1.03431,0.146363,0.101614,0.494884,0.505116
41,631,205,211,215,0.971564,0.149287,0.10825,0.495909,0.504091
42,629,209,204,216,1.02451,0.150141,0.114867,0.493511,0.506489
43,627,214,207,206,1.03382,0.153415,0.120143,0.491724,0.508276
44,619,204,204,211,1.0,0.157642,0.121745,0.493969,0.506031
45,626,208,202,216,1.0297,0.159536,0.12027,0.491456,0.508544
46,620,208,205,207,1.01463,0.16682,0.121628,0.4897,0.5103
47,619,205,204,210,1.0049,0.169796,0.123814,0.489546,0.510454
48,621,207,204,210,1.01471,0.171874,0.127937,0.49025,0.50975
49,627,207,204,216,1.01471,0.177478,0.128662,0.488925,0.511075
50,625,211,205,209,1.02927,0.176771,0.135389,0.489454,0.510546
51,627,211,205,211,1.02927,0.180321,0.141019,0.488978,0.511022
52,608,199,201,208,0.99005,0.180662,0.139964,0.489767,0.510233
53,614,203,204,207,0.995098,0.182128,0.141518,0.488943,0.511057
54,620,207,204,209,1.01471,0.182942,0.143116,0.486336,0.513664
55,623,209,202,212,1.03465,0.186261,0.145051,0.490544,0.509456
56,628,212,205,211,1.03415,0.189169,0.148298,0.493069,0.506931
57,624,215,198,211,1.08586,0.194124,0.152302,0.489528,0.510472
58,621,212,201,208,1.05473,0.195595,0.154138,0.491009,0.508991
59,626,208,205,213,1.01463,0.204334,0.1579,0.48627,0.51373
60,624,209,204,211,1.02451,0.204351,0.158927,0.483668,0.516332
61,623,211,202,210,1.04455,0.203031,0.161312,0.487503,0.512497
62,622,209,204,209,1.02451,0.204894,0.165951,0.489147,0.510853
63,632,213,207,212,1.02899,0.208223,0.171109,0.493845,0.506155
64,628,209,204,215,1.02451,0.210617,0.177061,0.49317,0.50683
65,625,214,202,209,1.05941,0.213968,0.183239,0.491245,0.508755
66,625,210,203,212,1.03448,0.21867,0.184703,0.492496,0.507504
67,630,206,205,219,1.00488,0.22078,0.189411,0.494011,0.505989
68,619,213,202,204,1.05446,0.2267,0.192487,0.494831,0.505169
69,633,213,210,210,1.01429,0.23187,0.195257,0.497316,0.502684
70,622,203,207,212,0.980676,0.240013,0.193253,0.498739,0.501261
71,622,201,208,213,0.966346,0.239349,0.195226,0.494713,0.505287
72,618,209,203,206,1.02956,0.246628,0.19661,0.495044,0.504956
73,614,209,204,201,1.02451,0.247707,0.196141,0.493944,0.506056
74,625,211,204,210,1.03431,0.24796,0.198945,0.492844,0.507156
75,624,212,201,211,1.05473,0.249363,0.197552,0.49272,0.50728
76,634,218,201,215,1.08458,0.256953,0.197552,0.49335,0.50665
77,629,212,203,214,1.04433,0.258557,0.197698,0.490147,0.509853
78,631,209,207,215,1.00966,0.260733,0.197141,0.487461,0.512539
79,603,196,199,208,0.984925,0.265014,0.201196,0.491287,0.508713
80,619,203,203,213,1.0,0.267905,0.202547,0.488971,0.511029
81,634,213,208,213,1.02404,0.272514,0.20727,0.48473,0.51527
82,618,207,202,209,1.02475,0.275985,0.205542,0.488073,0.511927
83,630,212,209,209,1.01435,0.279668,0.206627,0.487331,0.512669
84,619,205,204,210,1.0049,0.282097,0.206421,0.484105,0.515895
85,623,209,207,207,1.00966,0.282677,0.203418,0.48328,0.51672
86,620,201,209,210,0.961722,0.289757,0.202898,0.484069,0.515931
87,620,210,202,208,1.0396,0.29326,0.206209,0.486594,0.513406
88,627,199,205,223,0.970732,0.293712,0.209954,0.48581,0.51419
89,630,205,206,219,0.995146,0.296464,0.21421,0.485603,0.514397
90,631,206,208,217,0.990385,0.297058,0.215294,0.485039,0.514961
91,624,209,203,212,1.02956,0.29838,0.219548,0.480985,0.519015
92,626,207,204,215,1.01471,0.299423,0.225502,0.482886,0.517114
93,630,207,207,216,1.0,0.3028,0.227497,0.481622,0.518378
94,627,211,205,211,1.02927,0.306098,0.224962,0.480602,0.519398
95,642,218,207,217,1.05314,0.308899,0.227377,0.481266,0.518734
96,626,208,207,211,1.00483,0.310488,0.231832,0.478707,0.521293
97,630,206,208,216,0.990385,0.313341,0.230786,0.479899,0.520101
98,633,207,206,220,1.00485,0.317167,0.237655,0.478017,0.521983
99,631,205,205,221,1.0,0.319573,0.238213,0.48364,0.51636
100,636,214,205,217,1.0439,0.323373,0.241452,0.477368,0.522632
101,616,209,195,212,1.07179,0.326719,0.242853,0.471766,0.528234
102,617,207,204,206,1.01471,0.331822,0.244601,0.476299,0.523701
103,639,211,206,222,1.02427,0.332618,0.246435,0.474816,0.525184
104,635,210,209,216,1.00478,0.334427,0.25088,0.472658,0.527342
105,625,209,202,214,1.03465,0.334642,0.250286,0.473898,0.526102
106,627,207,205,215,1.00976,0.339921,0.249793,0.475295,0.524705
107,630,206,206,218,1.0,0.338384,0.249501,0.475088,0.524912
108,625,211,204,210,1.03431,0.341195,0.248478,0.477863,0.522137
109,636,215,204,217,1.05392,0.341167,0.251305,0.477169,0.522831
110,630,210,207,213,1.01449,0.340382,0.25257,0.476045,0.523955
111,613,202,202,209,1.0,0.339934,0.25685,0.475828,0.524172
112,633,207,201,225,1.02985,0.344321,0.256703,0.472934,0.527066
