Year,PopulationSize,Total_palmata,Total_cervicornis,Total_prolifera,Ratio_palmata_to_cervicornis,cervicornis_ancestry_in_palmata,palmata_ancestry_in_cervicornis,palmata_ancestry_in_prolifera,cervicornis_ancestry_in_prolifera
1,500,250,250,0,1.0,-0.00374532,0.0,0.0,0.0
2,491,246,240,5,1.025,-0.00374532,0.0,0.501873,0.498127
3,484,241,237,6,1.01688,-0.00374532,0.0,0.501873,0.498127
4,480,244,228,8,1.07018,-0.00374532,0.0,0.501873,0.498127
5,475,243,221,11,1.09955,-0.00374532,0.0,0.501873,0.498127
6,482,244,223,15,1.09417,-0.00374532,0.0,0.501873,0.498127
7,498,253,226,19,1.11947,-0.00374532,0.0,0.501873,0.498127
8,506,258,226,22,1.14159,-0.00374532,0.0,0.501873,0.498127
9,505,257,223,25,1.15247,-0.00374532,0.0,0.501873,0.498127
10,516,261,223,32,1.1704,-0.00374532,0.0,0.499766,0.500234
11,527,263,224,40,1.17411,-0.00374532,0.000886169,0.500187,0.499813
12,537,268,222,47,1.20721,-0.00301163,0.000894153,0.510638,0.489362
13,534,262,219,53,1.19635,-0.00299483,0.000906401,0.518055,0.481945
14,542,258,225,59,1.14667,-0.00298319,0.00116521,0.512696,0.487304
15,545,260,223,62,1.16592,-0.00298905,0.000890143,0.512172,0.487828
16,553,262,224,67,1.16964,-0.00251594,0.000886169,0.51146,0.48854
17,549,254,220,75,1.15455,-0.00247722,0.000902281,0.51191,0.48809
18,555,252,221,82,1.14027,-0.00193211,0.00168624,0.511053,0.488947
19,558,249,223,86,1.11659,-0.00191026,0.00167112,0.510626,0.489374
20,559,249,221,89,1.1267,-0.00118827,0.00257597,0.509405,0.490595
21,555,240,222,93,1.08108,-0.000749064,0.00256436,0.512303,0.487697
22,567,242,225,100,1.07556,-0.000773826,0.00326259,0.506236,0.493764
23,571,246,221,104,1.11312,-3.04497e-05,0.004008,0.505294,0.494706
24,579,250,221,108,1.13122,0.000644195,0.004008,0.505531,0.494469
25,588,251,221,116,1.13575,0.000626707,0.004008,0.510364,0.489636
26,588,247,219,122,1.12785,0.000871886,0.00418142,0.509225,0.490775
27,592,247,219,126,1.12785,0.000871886,0.00420707,0.503998,0.496002
28,598,246,221,131,1.11312,0.00123321,0.00450794,0.504289,0.495711
29,608,248,222,138,1.11712,0.00119307,0.00380437,0.504125,0.495875
30,610,245,216,149,1.13426,0.00166628,0.00391004,0.498957,0.501043
31,604,234,216,154,1.08333,0.00115241,0.0045516,0.498675,0.501325
32,602,228,214,160,1.06542,0.000418884,0.00379782,0.499099,0.500901
33,615,231,214,170,1.07944,0.00119169,0.00443663,0.499108,0.500892
34,622,233,212,177,1.09906,0.00196107,0.00447848,0.500846,0.499154
35,628,232,212,184,1.09434,0.00275249,0.00480531,0.500947,0.499053
36,627,230,212,185,1.08491,0.00324866,0.00590064,0.496649,0.503351
37,623,222,211,190,1.05213,0.00350069,0.00644337,0.495102,0.504898
38,622,215,210,197,1.02381,0.00373661,0.00638488,0.49308,0.50692
39,631,215,211,205,1.01896,0.00421566,0.00638124,0.499607,0.500393
